epoch,time(s),learning late,train_loss,validation_loss,validation_error(%)
00372,00033,00033
00373,00028,00028
00374,00029,00029
00375,00005,00087
00376,00086,00086
00377,00007,00007
00378,00000,00000
00379,00094,00094
00380,00035,00011
00381,00026,00026
00382,00006,00006
00383,00041,00041
00384,00065,00021
00385,00069,00069
00386,00027,00027
00387,00029,00029
00388,00067,00067
00389,00085,00085
00390,00065,00065
00391,00040,00040
00392,00061,00057
00393,00072,00072
00394,00030,00030
00395,00050,00074
00396,00027,00027
00397,00003,00003
00398,00049,00049
00399,00052,00052
00400,00095,00095
00401,00040,00040
00402,00093,00093
00403,00080,00077
00404,00038,00091
00405,00006,00006
00406,00057,00057
00407,00072,00072
00408,00016,00016
00409,00098,00098
00410,00089,00089
00411,00040,00040
00412,00047,00096
00413,00071,00071
00414,00072,00003
00415,00011,00002
00416,00066,00066
00417,00065,00027
00418,00008,00008
00419,00053,00053
00420,00096,00033
00421,00004,00055
00422,00081,00081
00423,00088,00088
00424,00096,00096
00425,00068,00068
00426,00042,00042
00427,00077,00077
00428,00010,00010
00429,00027,00027
00430,00032,00032
00431,00079,00079
00432,00098,00098
00433,00018,00018
00434,00051,00051
00435,00035,00002
00436,00019,00019
00437,00031,00031
00438,00067,00067
00439,00036,00036
00440,00010,00010
00441,00016,00016
00442,00005,00005
00443,00081,00081
00444,00085,00085
00445,00079,00026
00446,00085,00085
00447,00065,00065
00448,00022,00022
00449,00055,00055
00450,00085,00085
00451,00022,00022
00452,00022,00022
00453,00010,00010
00454,00018,00018
00455,00002,00098
00456,00009,00009
00457,00026,00026
00458,00027,00027
00459,00007,00007
00460,00005,00005
00461,00058,00058
00462,00087,00087
00463,00076,00076
00464,00002,00002
00465,00083,00054
00466,00038,00038
00467,00033,00033
00468,00017,00017
00469,00006,00006
00470,00000,00000
00471,00079,00079
00472,00097,00097
00473,00014,00014
00474,00014,00014
00475,00073,00073
00476,00079,00079
00477,00089,00008
00478,00038,00042
00479,00004,00004
00480,00025,00025
00481,00037,00037
00482,00075,00075
00483,00074,00074
00484,00041,00041
00485,00000,00000
00486,00023,00099
00487,00079,00079
00488,00087,00087
00489,00067,00067
00490,00072,00072
00491,00038,00038
00492,00094,00025
00493,00049,00049
00494,00072,00003
00495,00074,00074
00496,00069,00069
00497,00036,00036
00498,00063,00077
00499,00089,00089
00500,00071,00071
00501,00065,00031
00502,00050,00050
00503,00090,00090
00504,00011,00011
00505,00035,00002
00506,00041,00041
00507,00038,00038
00508,00058,00058
00509,00047,00047
00510,00093,00093
